ds,y
10/18/2016,245.95
10/19/2016,255.36
10/20/2016,243.17
10/21/2016,237.04
10/22/2016,89.59
10/23/2016,86.5
10/24/2016,173.37
10/25/2016,188.2
10/26/2016,196.59
10/27/2016,204.33
10/28/2016,194.56
10/29/2016,116.89
10/30/2016,111.31
10/31/2016,180.95
11/1/2016,175.47
11/2/2016,175.68
11/3/2016,235.08
11/4/2016,176.4
11/5/2016,98.71
11/6/2016,96.7104
11/7/2016,176.73
11/8/2016,127.95
11/9/2016,173.21
11/10/2016,188.23
11/11/2016,134.48
11/12/2016,98.81
11/13/2016,95.55
11/14/2016,179.05
11/15/2016,183.06
11/16/2016,185.85
11/17/2016,191.28
11/18/2016,183.86
11/19/2016,108.05
11/20/2016,115.98
11/21/2016,204.26
11/22/2016,203.92
11/23/2016,200.88
11/24/2016,123.59
11/25/2016,176.59
11/26/2016,112.83
11/27/2016,111.45
11/28/2016,183.43
11/29/2016,177.88
11/30/2016,181.2
12/1/2016,193.03
12/2/2016,186.94
12/3/2016,111.23
12/4/2016,107.32
12/5/2016,194.2
12/6/2016,199.14
12/7/2016,189.65
12/8/2016,199.07
12/9/2016,208.33
12/10/2016,125.44
12/11/2016,124.57
12/12/2016,203.6
12/13/2016,189.73
12/14/2016,197.28
12/15/2016,233.5
12/16/2016,219.47
12/17/2016,110.23
12/18/2016,106.98
12/19/2016,209.17
12/20/2016,206.57
12/21/2016,201.28
12/22/2016,195.55
12/23/2016,180.89
12/24/2016,102.77
12/25/2016,100.93
12/26/2016,145.58
12/27/2016,173.79
12/28/2016,185.75
12/29/2016,201.41
12/30/2016,186.02
12/31/2016,108.8
