ds,y
10/17/2011,498.24
10/18/2011,505.34
10/19/2011,534.11
10/20/2011,542.8
10/21/2011,499.32
10/22/2011,456.81
10/23/2011,441.71
10/24/2011,499.04
10/25/2011,509.94
10/26/2011,521.32
10/27/2011,524.97
10/28/2011,549.89
10/29/2011,504.17
10/30/2011,479.8
10/31/2011,549.52
11/1/2011,549
11/2/2011,559
11/3/2011,546.86
11/4/2011,551.42
11/5/2011,509.77
11/6/2011,488.54
11/7/2011,539.41
11/8/2011,497.77
11/9/2011,527.24
11/10/2011,526
11/11/2011,487.73
11/12/2011,499.84
11/13/2011,475.48
11/14/2011,534.18
11/15/2011,566.03
11/16/2011,528.95
11/17/2011,555.01
11/18/2011,534.74
11/19/2011,520.39
11/20/2011,474.25
11/21/2011,541.91
11/22/2011,557.77
11/23/2011,534.76
11/24/2011,457.83
11/25/2011,504.29
11/26/2011,471.02
11/27/2011,445.9
11/28/2011,521.34
11/29/2011,533.85
11/30/2011,558.34
12/1/2011,565.35
12/2/2011,562.65
12/3/2011,519.02
12/4/2011,479.07
12/5/2011,525.13
12/6/2011,524.22
12/7/2011,531.16
12/8/2011,545.51
12/9/2011,544.67
12/10/2011,336.97
12/11/2011,417.6
12/12/2011,543.77
12/13/2011,548.7
12/14/2011,558.9
12/15/2011,481.19
12/16/2011,463.29
12/17/2011,513.26
12/18/2011,483.92
12/19/2011,554.48
12/20/2011,561.42
12/21/2011,543.26
12/22/2011,534.64
12/23/2011,535.74
12/24/2011,508.33
12/25/2011,467.06
12/26/2011,468.29
12/27/2011,527.97
12/28/2011,554.42
12/29/2011,566.66
12/30/2011,545.94
12/31/2011,493.08
1/1/2012,473.31
1/2/2012,479.29
1/3/2012,545.04
1/4/2012,543.6
1/5/2012,557.97
1/6/2012,550.47
1/7/2012,501.31
1/8/2012,478.53
1/9/2012,556.15
1/10/2012,551.03
1/11/2012,554.69
1/12/2012,545.98
1/13/2012,544.04
1/14/2012,512.15
1/15/2012,487.2
1/16/2012,483.78
1/17/2012,542.44
1/18/2012,544.46
1/19/2012,563.28
1/20/2012,543.12
1/21/2012,515.93
1/22/2012,486.49
1/23/2012,549.17
1/24/2012,547.84
1/25/2012,555.95
1/26/2012,559.76
1/27/2012,538.56
1/28/2012,516.82
1/29/2012,483.69
1/30/2012,557.22
1/31/2012,558.17
2/1/2012,546.75
2/2/2012,557.31
2/3/2012,560.62
2/4/2012,517.42
2/5/2012,487.44
2/6/2012,555.79
2/7/2012,558.91
2/8/2012,545.3
2/9/2012,548.78
2/10/2012,558.75
2/11/2012,512.01
2/12/2012,482.99
2/13/2012,555.41
2/14/2012,560.79
2/15/2012,552.49
2/16/2012,555.34
2/17/2012,503.21
2/18/2012,359.08
2/19/2012,378.2
2/20/2012,482.2
2/21/2012,554.99
2/22/2012,551.5
2/23/2012,547.14
2/24/2012,539.77
2/25/2012,483.79
2/26/2012,480.11
2/27/2012,548.54
2/28/2012,551.03
2/29/2012,556.83
3/1/2012,546.98
3/2/2012,547.17
3/3/2012,470.96
3/4/2012,475.46
3/5/2012,550.01
3/6/2012,560.86
3/7/2012,550.83
3/8/2012,535.81
3/9/2012,550.15
3/10/2012,518.13
3/11/2012,511.25
3/12/2012,536.13
3/13/2012,529.99
3/14/2012,537.03
3/15/2012,555.71
3/16/2012,551.55
3/17/2012,482.26
3/18/2012,480.04
3/19/2012,534.95
3/20/2012,521.04
3/21/2012,523.41
3/22/2012,504.78
3/23/2012,521.47
3/24/2012,472.98
3/25/2012,453.9
3/26/2012,543.94
3/27/2012,560.62
3/28/2012,543.32
3/29/2012,538.82
3/30/2012,546.8
3/31/2012,491.51
4/1/2012,475.12
4/2/2012,542.22
4/3/2012,559.42
4/4/2012,537.5
4/5/2012,547.78
4/6/2012,531.76
4/7/2012,482.85
4/8/2012,460.18
4/9/2012,517.41
4/10/2012,532.35
4/11/2012,542.55
4/12/2012,540.67
4/13/2012,532.86
4/14/2012,482.83
4/15/2012,512.77
4/16/2012,601.18
4/17/2012,629.53
4/18/2012,531.98
4/19/2012,529.23
4/20/2012,541.59
4/21/2012,465.02
4/22/2012,452.63
4/23/2012,513.8
4/24/2012,553.03
4/25/2012,546.59
4/26/2012,533.53
4/27/2012,533.12
4/28/2012,481.73
4/29/2012,471.64
4/30/2012,497
5/1/2012,542.12
5/2/2012,533.43
5/3/2012,523.47
5/4/2012,524.86
5/5/2012,463.9
5/6/2012,457.26
5/7/2012,530.59
5/8/2012,527.3
5/9/2012,603.83
5/10/2012,525.29
5/11/2012,535.59
5/12/2012,486.32
5/13/2012,550.44
5/14/2012,570.59
5/15/2012,567.95
5/16/2012,605.5
5/17/2012,597.04
5/18/2012,568.4
5/19/2012,485.13
5/20/2012,504.16
5/21/2012,528.86
5/22/2012,578.38
5/23/2012,609.45
5/24/2012,570.03
5/25/2012,597.12
5/26/2012,598.42
5/27/2012,596.18
5/28/2012,594.78
5/29/2012,731.21
5/30/2012,671.07
5/31/2012,644.34
6/1/2012,607.94
6/2/2012,572.89
6/3/2012,518.55
6/4/2012,516
6/5/2012,532.8
6/6/2012,532.08
6/7/2012,589.96
6/8/2012,609.08
6/9/2012,535.31
6/10/2012,558.09
6/11/2012,601.24
6/12/2012,608.99
6/13/2012,625.96
6/14/2012,613.46
6/15/2012,599.32
6/16/2012,482.07
6/17/2012,450.15
6/18/2012,575.46
6/19/2012,620.15
6/20/2012,787.57
6/21/2012,893.1
6/22/2012,973.3
6/23/2012,582.98
6/24/2012,564.54
6/25/2012,615.99
6/26/2012,559.19
6/27/2012,795.37
6/28/2012,921.63
6/29/2012,814.9
6/30/2012,596.33
7/1/2012,604.83
7/2/2012,663.83
7/3/2012,671.46
7/4/2012,666.57
7/5/2012,764.21
7/6/2012,690.16
7/7/2012,638.47
7/8/2012,627.31
7/9/2012,617.5
7/10/2012,633.13
7/11/2012,650.99
7/12/2012,642.79
7/13/2012,634.79
7/14/2012,383.63
7/15/2012,523.2
7/16/2012,743.82
7/17/2012,798.15
7/18/2012,869.33
7/19/2012,766.33
7/20/2012,603.75
7/21/2012,475.3
7/22/2012,494.28
7/23/2012,667.02
7/24/2012,734.41
7/25/2012,621.89
7/26/2012,663.38
7/27/2012,720.41
7/28/2012,663.68
7/29/2012,607.72
7/30/2012,680.49
7/31/2012,690.77
8/1/2012,708.69
8/2/2012,699.04
8/3/2012,658.67
8/4/2012,503.09
8/5/2012,639.56
8/6/2012,713.5
8/7/2012,708.27
8/8/2012,710.59
8/9/2012,710.62
8/10/2012,738.48
8/11/2012,416.85
8/12/2012,554.38
8/13/2012,1130.28
8/14/2012,1123.82
8/15/2012,1127.86
8/16/2012,923.96
8/17/2012,964.49
8/18/2012,803.12
8/19/2012,785.95
8/20/2012,758.68
8/21/2012,818.27
8/22/2012,838.98
8/23/2012,943.4
8/24/2012,887.57
8/25/2012,826.76
8/26/2012,757.09
8/27/2012,841.69
8/28/2012,929.66
8/29/2012,801.13
8/30/2012,835.13
8/31/2012,950.59
9/1/2012,936.68
9/2/2012,935.83
9/3/2012,860.18
