ds,y
10/16/2016,292.07
10/17/2016,390.90
10/18/2016,497.74
10/19/2016,498.72
10/20/2016,402.53
10/21/2016,497.05
10/22/2016,326.27
10/23/2016,270.61
10/24/2016,370.76
10/25/2016,403.33
10/26/2016,417.71
10/27/2016,420.54
10/28/2016,410.32
10/29/2016,341.08
10/30/2016,330.30
10/31/2016,402.88
11/1/2016,415.98
11/2/2016,407.32
11/3/2016,402.90
11/4/2016,400.70
11/5/2016,352.52
11/6/2016,324.53
11/7/2016,395.82
11/8/2016,362.66
11/9/2016,398.45
11/10/2016,421.37
11/11/2016,373.32
11/12/2016,361.57
11/13/2016,343.20
11/14/2016,407.95
11/15/2016,404.57
11/16/2016,410.17
11/17/2016,400.67
11/18/2016,397.14
11/19/2016,344.36
11/20/2016,355.04
11/21/2016,407.99
11/22/2016,417.58
11/23/2016,413.56
11/24/2016,366.19
11/25/2016,391.58
11/26/2016,362.32
11/27/2016,358.08
11/28/2016,399.73
11/29/2016,377.05
11/30/2016,387.93
12/1/2016,386.99
12/2/2016,409.68
12/3/2016,356.71
12/4/2016,344.80
12/5/2016,399.39
12/6/2016,418.72
12/7/2016,416.60
12/8/2016,416.18
12/9/2016,418.19
12/10/2016,375.57
12/11/2016,372.17
12/12/2016,408.52
12/13/2016,419.83
12/14/2016,417.52
12/15/2016,426.35
12/16/2016,428.96
12/17/2016,361.14
12/18/2016,347.93
12/19/2016,421.90
12/20/2016,427.64
12/21/2016,426.46
12/22/2016,425.84
12/23/2016,416.31
12/24/2016,374.17
12/25/2016,373.88
12/26/2016,357.13
12/27/2016,392.56
12/28/2016,417.82
12/29/2016,415.70
12/30/2016,410.97
12/31/2016,360.92
